[2026-03-30T11:42:11.842Z] GET http://localhost:4000/_next/static/webpack/app/layout.4ad1d41207762f6f.hot-update.js → 200 (4ms, 1623B)
[2026-03-30T11:42:11.842Z] GET http://localhost:4000/_next/static/webpack/webpack.4ad1d41207762f6f.hot-update.js → 200 (4ms, 858B)
[2026-03-30T11:42:11.990Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774870931885 → 200 (1ms, 38176B)
[2026-03-30T11:42:24.313Z] GET http://localhost:4000/_next/static/webpack/524ff9151fb0ee96.webpack.hot-update.json → 200 (26ms, 31B)
[2026-03-30T11:42:24.339Z] GET http://localhost:4000/_next/static/webpack/webpack.524ff9151fb0ee96.hot-update.js → 200 (9ms, 858B)
[2026-03-30T11:44:03.149Z] GET http://localhost:4000/_next/static/webpack/382c3c627f1de2d7.webpack.hot-update.json → 200 (6ms, 31B)
[2026-03-30T11:44:03.155Z] GET http://localhost:4000/_next/static/webpack/webpack.382c3c627f1de2d7.hot-update.js → 200 (20ms, 858B)
[2026-03-30T11:45:25.493Z] GET http://localhost:4000/manufacturing/4ad51a9f-d879-4183-88bc-082fc35a144a?_rsc=19ic1 → 200 (23ms, ?B)
[2026-03-30T11:45:25.494Z] GET http://localhost:4000/_next/static/webpack/eb22f4e47b0e09c7.webpack.hot-update.json → 200 (3ms, 44B)
[2026-03-30T11:45:25.498Z] GET http://localhost:4000/_next/static/webpack/app/layout.eb22f4e47b0e09c7.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:45:25.498Z] GET http://localhost:4000/_next/static/webpack/webpack.eb22f4e47b0e09c7.hot-update.js → 200 (2ms, 858B)
[2026-03-30T11:45:25.632Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871125512 → 200 (1ms, 38260B)
[2026-03-30T11:45:35.381Z] GET http://localhost:4000/_next/static/webpack/253511ccd24f3826.webpack.hot-update.json → 200 (4ms, 44B)
[2026-03-30T11:45:35.385Z] GET http://localhost:4000/_next/static/webpack/app/layout.253511ccd24f3826.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:45:35.385Z] GET http://localhost:4000/_next/static/webpack/webpack.253511ccd24f3826.hot-update.js → 200 (2ms, 858B)
[2026-03-30T11:45:35.523Z] GET http://localhost:4000/manufacturing/4ad51a9f-d879-4183-88bc-082fc35a144a?_rsc=19ic1 → 200 (41ms, ?B)
[2026-03-30T11:45:35.573Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871135561 → 200 (1ms, 38260B)
[2026-03-30T11:45:46.117Z] GET http://localhost:4000/_next/static/webpack/4d2137a363fd9131.webpack.hot-update.json → 200 (3ms, 44B)
[2026-03-30T11:45:46.120Z] GET http://localhost:4000/_next/static/webpack/app/layout.4d2137a363fd9131.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:45:46.120Z] GET http://localhost:4000/_next/static/webpack/webpack.4d2137a363fd9131.hot-update.js → 200 (1ms, 858B)
[2026-03-30T11:45:46.168Z] GET http://localhost:4000/manufacturing/4ad51a9f-d879-4183-88bc-082fc35a144a?_rsc=19ic1 → 200 (20ms, ?B)
[2026-03-30T11:45:46.296Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871146185 → 200 (1ms, 38260B)
[2026-03-30T11:45:54.527Z] GET http://localhost:4000/manufacturing/4ad51a9f-d879-4183-88bc-082fc35a144a?_rsc=19ic1 → 200 (15ms, ?B)
[2026-03-30T11:45:54.527Z] GET http://localhost:4000/_next/static/webpack/2b06e6aa15a5a4be.webpack.hot-update.json → 200 (2ms, 44B)
[2026-03-30T11:45:54.529Z] GET http://localhost:4000/_next/static/webpack/app/layout.2b06e6aa15a5a4be.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:45:54.529Z] GET http://localhost:4000/_next/static/webpack/webpack.2b06e6aa15a5a4be.hot-update.js → 200 (2ms, 858B)
[2026-03-30T11:45:54.554Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871154540 → 200 (1ms, 38260B)
[2026-03-30T11:45:59.844Z] GET http://localhost:4000/dashboard → 200 (190ms, ?B)
[2026-03-30T11:46:00.037Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871159852 → 200 (1ms, 38260B)
[2026-03-30T11:46:00.037Z] GET http://localhost:4000/_next/static/chunks/webpack.js?v=1774871159852 → 200 (2ms, 56325B)
[2026-03-30T11:46:00.037Z] GET http://localhost:4000/_next/static/chunks/main-app.js?v=1774871159852 → 200 (102ms, 6035472B)
[2026-03-30T11:46:00.037Z] GET http://localhost:4000/_next/static/chunks/app-pages-internals.js → 200 (5ms, 133531B)
[2026-03-30T11:46:00.037Z] GET http://localhost:4000/_next/static/chunks/app/layout.js → 200 (13ms, 576491B)
[2026-03-30T11:46:00.300Z] GET http://localhost:4000/api/auth/session → pending (?ms, ?B)
[2026-03-30T11:46:00.301Z] GET http://localhost:4000/api/auth/session → pending (?ms, ?B)
[2026-03-30T11:46:00.390Z] GET http://localhost:4000/api/auth/session → 200 (6ms, 226B)
[2026-03-30T11:46:00.396Z] GET http://localhost:4000/api/auth/session → 200 (6ms, 226B)
[2026-03-30T11:46:01.610Z] GET http://localhost:4000/_next/static/chunks/app/dashboard/page.js → 200 (17ms, 384828B)
[2026-03-30T11:48:48.092Z] GET http://localhost:4000/dashboard?_rsc=syt8b → 200 (25ms, ?B)
[2026-03-30T11:48:48.092Z] GET http://localhost:4000/_next/static/webpack/aebf10825931bc25.webpack.hot-update.json → 200 (3ms, 44B)
